Iteracion FuncionCosto
1 0.141512
2 0.023625
3 0.015986
4 0.0137972
5 0.0127408
6 0.0121399
7 0.0117671
8 0.0115179
9 0.011339
10 0.011202
11 0.0110914
12 0.0109984
13 0.0109181
14 0.0108473
15 0.0107841
16 0.0107274
17 0.0106762
18 0.0106297
19 0.0105875
20 0.0105491
21 0.0105142
22 0.0104824
23 0.0104534
24 0.010427
25 0.0104029
26 0.0103809
27 0.0103609
28 0.0103426
29 0.0103259
30 0.0103107
31 0.0102968
32 0.0102841
33 0.0102725
34 0.0102619
35 0.0102523
36 0.0102434
37 0.0102354
38 0.010228
39 0.0102213
40 0.0102152
41 0.0102096
42 0.0102045
43 0.0101998
44 0.0101955
45 0.0101916
46 0.0101881
47 0.0101848
48 0.0101818
49 0.0101791
50 0.0101766
51 0.0101744
52 0.0101723
53 0.0101704
54 0.0101687
55 0.0101671
56 0.0101656
57 0.0101643
58 0.0101631
59 0.010162
60 0.010161
61 0.0101601
62 0.0101592
63 0.0101585
64 0.0101578
65 0.0101571
66 0.0101565
67 0.010156
68 0.0101555
69 0.0101551
70 0.0101547
71 0.0101543
72 0.0101539
73 0.0101536
74 0.0101533
75 0.0101531
76 0.0101529
77 0.0101526
78 0.0101524
79 0.0101523
80 0.0101521
